x
Nycticorax nycticorax
Larus marinus
Egretta thula
Sterna hirundo
Sterna antillarum
Ardea alba
Egretta caerulea
Nyctanassa violacea
Plegadis falcinellus
Larus argentatus
Haematopus palliatus
Sterna dougallii
Phalacrocorax auritus
Rynchops niger
Sterna forsteri
Larus atricilla
Ardea herodias
Sterna nilotica
Cepphus grylle
Oceanodroma leucorhoa
Sterna paradisaea
Alca torda
Bubulcus ibis
Egretta tricolor
Fratercula arctica
Somateria mollissima
Pelecanus occidentalis
Sterna caspia
Sterna maxima
Anhinga anhinga
Eudocimus albus
Sterna sandvicensis
Butorides virescens
Mycteria americana
Phalacrocorax carbo
Larus ridibundus
Larus delawarensis
Larus californicus
Chlidonias niger
Plegadis chihi
Ajaia ajaja
Phalacrocorax brasilianus
Pelecanus erythrorhynchos
Larus minutus
Ardeid sp
Sterna fuscata
Phalacrocorax penicillatus
Synthliboramphus hypoleucus
Podiceps nigricollis
Larus occidentalis
Cepphus columba
Oceanodroma melania
Oceanodroma homochroa
Phalacrocorax pelagicus
Aechmophorus occidentalis
Eudocimus ruber
Sterna anaethetus
Egretta rufescens
Fregata magnificens
Phoenicopterus ruber
Ixobrychus exilis
Gallinula chloropus
Fratercula cirrhata
Fratercula corniculata
Larus glaucescens
Larus pipixcan
Podilymbus podiceps
Plegadis sp
Stercorarius longicaudus
Fulica americana
Podiceps grisegena
Botaurus lentiginosus
Sula sula
Larus philadelphia
Aechmophorus clarkii
Haematopus bachmani
Cerorhinca monocerata
Uria aalge
Larus hyperboreus
Uria lomvia
Rissa tridactyla
Fulmarus glacialis
Morus bassanus
Oceanodroma furcata
Larus heermanni
Sterna elegans
Larus livens
Sula nebouxii
Rallus limicola
Sula leucogaster
Bulweria bulwerii
Phaethon rubricauda
Phaethon lepturus
Sula dactylatra
Fregata minor
Ptychoramphus aleuticus
Phalacrocorax urile
Synthliboramphus antiquus
Larus canus
Aethia cristatella
Aethia psittacula
Sterna aleutica
Aethia pusilla
Aethia pygmaea
Rissa brevirostris
Anous minutus
Gygis alba
Anous stolidus
Puffinus pacificus
Phoebastria immutabilis
Puffinus auricularis
Phaethon aethereus
Synthliboramphus craveri
Sterna lunata
Gavia immer
Larus glaucoides
