"clean_provided_scientific_name","itis_common_name","itis_tsn","basis_of_record","occurrence_date","year","provider","provider_url","resource","resource_url","occurrence_url","catalog_number","collector","collector_number","valid_accepted_scientific_name","valid_accepted_tsn","provided_scientific_name","provided_tsn","latitude","longitude","verbatim_elevation","verbatim_depth","calculated_county_name","calculated_fips","calculated_state_name","centroid","provided_county_name","provided_fips","provided_state_name","thumb_url","associated_media","associated_references","general_comments","id","provider_id","resource_id","provided_common_name","provided_kingdom","geodetic_datum","coordinate_precision","coordinate_uncertainty","verbatim_locality","iso_country_code"
"Fratercula cirrhata",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Fratercula cirrhata",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,73813,NA,NA,"Tufted Puffin",NA,NA,NA,NA,NA,"US"
"Aethia psittacula",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Aethia psittacula",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,73814,NA,NA,"Parakeet Auklet",NA,NA,NA,NA,NA,"US"
"Aethia cristatella",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Aethia cristatella",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,73815,NA,NA,"Crested Auklet",NA,NA,NA,NA,NA,"US"
"Aethia pusilla",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Aethia pusilla",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,73816,NA,NA,"Least Auklet",NA,NA,NA,NA,NA,"US"
"Cepphus columba",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Cepphus columba",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,73817,NA,NA,"Pigeon Guillemot",NA,NA,NA,NA,NA,"US"
"Uria lomvia",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Uria lomvia",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,73818,NA,NA,"Thick-billed Murre",NA,NA,NA,NA,NA,"US"
"Larus glaucescens",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Larus glaucescens",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,73819,NA,NA,"Glaucous-winged Gull",NA,NA,NA,NA,NA,"US"
"Phalacrocorax pelagicus",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Phalacrocorax pelagicus",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,73820,NA,NA,"Pelagic Cormorant",NA,NA,NA,NA,NA,"US"
"Phalacrocorax urile",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Phalacrocorax urile",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,73821,NA,NA,"Red-faced Cormorant",NA,NA,NA,NA,NA,"US"
"Haematopus bachmani",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Haematopus bachmani",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,73822,NA,NA,"Black Oystercatcher",NA,NA,NA,NA,NA,"US"
"Uria aalge",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Uria aalge",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,90774,NA,NA,"Common Murre",NA,NA,NA,NA,NA,"US"
"Oceanodroma furcata",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Oceanodroma furcata",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,91095,NA,NA,"Fork-tailed Storm-Petrel",NA,NA,NA,NA,NA,"US"
"Aethia pygmaea",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Aethia pygmaea",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,91096,NA,NA,"Whiskered Auklet",NA,NA,NA,NA,NA,"US"
"Fratercula corniculata",NA,NA,"observation","1977-07-01",1977,"BISON","http://bison.usgs.ornl.gov","USGS PWRC - Colonial Waterbirds","https://www.pwrc.usgs.gov/cwb/database/",NA,NA,NA,NA,NA,NA,"Fratercula corniculata",NA,51.966,179.628,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,99286,NA,NA,"Horned Puffin",NA,NA,NA,NA,NA,"US"
